month,bidding_no,vehicle_class,quota,bids_success,bids_received,premium
2015-09,2,Category B,1058,1041,1371,60001
2015-09,2,Category C,182,172,356,45289
2015-09,2,Category D,402,402,509,6158
2015-09,2,Category E,368,368,542,61300
2015-10,1,Category A,1687,1679,2210,56001
2015-10,1,Category B,1057,1044,1373,58190
2015-10,1,Category C,182,181,331,44890
2015-10,1,Category D,400,398,438,6201
2015-10,1,Category E,366,360,582,58801
2015-10,2,Category A,1690,1684,2229,57301
2015-10,2,Category B,1073,1069,1367,59889
2015-10,2,Category C,192,186,340,42303
2015-10,2,Category D,355,353,430,6302
2015-10,2,Category E,361,356,584,60000
2015-11,1,Category A,1664,1623,2009,56001
2015-11,1,Category B,1037,1031,1267,57501
2015-11,1,Category C,241,240,372,43809
2015-11,1,Category D,329,301,402,5912
2015-11,1,Category E,367,363,505,60689
2015-11,2,Category A,1662,1650,2140,59200
2015-11,2,Category B,1029,1026,1388,61103
2015-11,2,Category C,247,244,389,45890
2015-11,2,Category D,329,324,436,6502
2015-11,2,Category E,365,365,519,62019
2015-12,1,Category A,1698,1696,2132,56989
2015-12,1,Category B,1031,1028,1324,60001
2015-12,1,Category C,241,236,345,48101
2015-12,1,Category D,355,354,414,6501
2015-12,1,Category E,364,362,495,60003
2015-12,2,Category A,1669,1667,1978,54301
2015-12,2,Category B,1027,1025,1200,55001
2015-12,2,Category C,244,243,311,46001
2015-12,2,Category D,332,332,394,6600
2015-12,2,Category E,360,360,512,57501
2016-01,1,Category A,1659,1649,2013,45002
2016-01,1,Category B,1027,1019,1262,54920
2016-01,1,Category C,246,245,353,42036
2016-01,1,Category D,328,317,409,6889
2016-01,1,Category E,362,361,498,55089
2016-01,2,Category A,1659,1638,3437,51301
2016-01,2,Category B,1026,1026,1334,50089
2016-01,2,Category C,242,239,387,46502
2016-01,2,Category D,327,322,415,6512
2016-01,2,Category E,360,350,713,51000
2016-02,1,Category A,2038,2033,2972,46651
2016-02,1,Category B,1216,1216,1624,38610
2016-02,1,Category C,164,164,229,45036
2016-02,1,Category D,368,368,495,6503
2016-02,1,Category E,446,443,824,44001
2016-02,2,Category A,2049,2025,2965,43000
2016-02,2,Category B,1208,1197,2898,46970
2016-02,2,Category C,165,160,239,45001
2016-02,2,Category D,362,361,454,6353
2016-02,2,Category E,456,450,873,45009
2016-03,1,Category A,2033,1957,3518,45000
2016-03,1,Category B,1209,1200,2706,47604
2016-03,1,Category C,162,160,259,48890
2016-03,1,Category D,357,356,430,6503
2016-03,1,Category E,449,312,951,48002
2016-03,2,Category A,2053,2020,3836,45504
2016-03,2,Category B,1220,1218,2491,46502
2016-03,2,Category C,167,166,226,46502
2016-03,2,Category D,357,356,429,6589
2016-03,2,Category E,452,445,912,46667
2016-04,1,Category A,2105,2103,3719,46009
2016-04,1,Category B,1218,1218,2247,47000
2016-04,1,Category C,164,161,235,44213
2016-04,1,Category D,357,356,455,6503
2016-04,1,Category E,583,346,1397,47510
2016-04,2,Category A,2062,2061,3327,47300
2016-04,2,Category B,1211,1136,2364,49602
2016-04,2,Category C,163,162,241,43002
2016-04,2,Category D,357,341,437,6501
2016-04,2,Category E,453,433,834,49501
2016-05,1,Category A,2218,2217,3446,47889
2016-05,1,Category B,1462,1454,2435,51010
2016-05,1,Category C,232,232,324,42302
2016-05,1,Category D,399,389,519,6302
2016-05,1,Category E,750,728,1380,49000
2016-05,2,Category A,2217,2182,3227,47020
2016-05,2,Category B,1537,1536,2322,49156
2016-05,2,Category C,229,229,355,43002
2016-05,2,Category D,414,389,500,6303
2016-05,2,Category E,534,510,815,49700
2016-06,1,Category A,2218,2213,4545,53694
2016-06,1,Category B,1470,1463,3436,56000
2016-06,1,Category C,228,219,347,46434
2016-06,1,Category D,407,395,529,6302
2016-06,1,Category E,536,533,860,55100
2016-06,2,Category A,2252,2197,3957,55200
2016-06,2,Category B,1463,1462,2914,57010
2016-06,2,Category C,228,226,342,48002
2016-06,2,Category D,422,389,495,6303
2016-06,2,Category E,538,531,1009,57390
2016-07,1,Category A,2222,2212,3194,52301
2016-07,1,Category B,1469,1469,2547,56089
2016-07,1,Category C,237,235,310,47889
2016-07,1,Category D,409,365,525,6012
2016-07,1,Category E,517,517,750,56002
2016-07,2,Category A,2272,2246,3195,53000
2016-07,2,Category B,,1463,2439,57508
2016-07,2,Category C,230,225,344,49890
2016-07,2,Category D,430,424,586,6302
2016-07,2,Category E,521,500,821,57501
2016-08,1,Category A,2018,1959,2712,52503
2016-08,1,Category B,1336,1300,2156,57903
2016-08,1,Category C,177,177,245,48302
2016-08,1,Category D,403,400,558,6206
2016-08,1,Category E,429,400,610,58201
2016-08,2,Category A,2034,2034,2803,53334
2016-08,2,Category B,1336,1334,2088,56500
2016-08,2,Category C,180,178,236,48001
2016-08,2,Category D,365,321,541,6352
2016-08,2,Category E,450,450,618,56956
2016-09,1,Category A,2067,2011,2739,51506
2016-09,1,Category B,1372,1358,2183,57002
2016-09,1,Category C,175,175,260,49801
2016-09,1,Category D,362,334,521,6452
2016-09,1,Category E,458,450,723,56889
2016-09,2,Category A,2008,1993,2610,50000
2016-09,2,Category B,1338,1334,2017,55501
2016-09,2,Category C,177,165,237,49890
2016-09,2,Category D,403,402,478,6501
2016-09,2,Category E,429,429,592,55201
2016-10,1,Category A,2064,1979,2938,51507
2016-10,1,Category B,1350,1246,1785,53001
2016-10,1,Category C,176,172,232,48702
2016-10,1,Category D,387,359,498,6353
2016-10,1,Category E,,435,642,54200
2016-10,2,Category A,2023,2021,2584,50991
2016-10,2,Category B,1340,1329,1768,56410
2016-10,2,Category C,188,187,252,45589
2016-10,2,Category D,360,356,430,6354
2016-10,2,Category E,429,428,678,56340
2016-11,1,Category A,1929,1929,2800,52668
2016-11,1,Category B,1347,1345,2012,56206
2016-11,1,Category C,185,181,283,48001
2016-11,1,Category D,399,396,457,6311
2016-11,1,Category E,401,388,641,56000
2016-11,2,Category A,1846,1846,2536,50951
2016-11,2,Category B,1254,1253,1708,53001
2016-11,2,Category C,182,181,286,49002
2016-11,2,Category D,375,331,520,6212
2016-11,2,Category E,401,397,531,54901
2016-12,1,Category A,1844,1812,2335,48000
2016-12,1,Category B,1245,1237,1494,46229
2016-12,1,Category C,185,183,262,51209
2016-12,1,Category D,374,368,436,6113
2016-12,1,Category E,413,411,643,50010
2016-12,2,Category A,1844,1843,2554,49751
2016-12,2,Category B,1244,1242,2052,51109
2016-12,2,Category C,182,176,274,49500
2016-12,2,Category D,415,408,484,6101
2016-12,2,Category E,404,404,668,50389
2017-01,1,Category A,1877,1870,2260,50101
2017-01,1,Category B,1252,1243,1835,53106
2017-01,1,Category C,183,180,271,46302
2017-01,1,Category D,,374,438,6053
2017-01,1,Category E,401,394,648,53001
2017-01,2,Category A,1846,1766,2437,50889
2017-01,2,Category B,1246,1226,1967,52807
2017-01,2,Category C,186,173,254,47001
2017-01,2,Category D,377,331,412,6052
2017-01,2,Category E,400,381,662,52600
2017-02,1,Category A,2060,2051,2691,48401
2017-02,1,Category B,1366,1352,1783,48209
2017-02,1,Category C,164,155,268,48901
2017-02,1,Category D,348,326,534,6412
2017-02,1,Category E,488,488,805,48556
2017-02,2,Category A,2133,2089,2926,49430
2017-02,2,Category B,1377,1377,2126,50621
2017-02,2,Category C,174,171,249,49810
2017-02,2,Category D,392,384,753,6801
2017-02,2,Category E,500,483,800,51000
2017-03,1,Category A,2061,2045,3190,50789
2017-03,1,Category B,1371,1368,2298,53300
2017-03,1,Category C,170,170,216,49002
2017-03,1,Category D,368,359,546,7483
2017-03,1,Category E,482,478,763,53001
2017-03,2,Category A,2096,2096,2961,51765
2017-03,2,Category B,1357,1345,2081,54000
2017-03,2,Category C,164,163,251,47036
2017-03,2,Category D,355,354,453,8081
2017-03,2,Category E,499,499,783,54501
2017-04,1,Category A,2068,2061,2486,52000
2017-04,1,Category B,1360,1360,1970,54405
2017-04,1,Category C,162,162,351,45906
2017-04,1,Category D,355,354,482,7589
2017-04,1,Category E,486,,748,54556
2017-04,2,Category A,2052,2030,2442,51600
2017-04,2,Category B,1369,1365,2000,54406
2017-04,2,Category C,163,162,509,26501
2017-04,2,Category D,347,325,512,6712
2017-04,2,Category E,482,477,712,54616
2017-05,1,Category A,1905,1905,2240,51106
2017-05,1,Category B,1320,1316,1996,55414
2017-05,1,Category C,1084,1078,2586,26029
2017-05,1,Category D,455,433,567,6301
2017-05,1,Category E,529,528,755,55000
2017-05,2,Category A,1920,1913,2601,46489
2017-05,2,Category B,1325,1325,1725,53001
2017-05,2,Category C,1085,1084,2492,30600
2017-05,2,Category D,476,470,602,6101
2017-05,2,Category E,532,506,731,52000
2017-06,1,Category A,1898,1893,2245,45201
2017-06,1,Category B,1325,1324,1582,50110
2017-06,1,Category C,1091,1087,2309,38501
2017-06,1,Category D,476,455,743,6101
2017-06,1,Category E,528,528,878,50526
2017-06,2,Category A,1906,1898,2302,42801
2017-06,2,Category B,1321,1320,1651,47501
2017-06,2,Category C,1086,1085,2125,36879
2017-06,2,Category D,459,360,931,6001
2017-06,2,Category E,553,519,925,48001
2017-07,1,Category A,1904,1902,2296,42801
2017-07,1,Category B,1322,1321,1910,49802
2017-07,1,Category C,1088,1078,2189,40212
2017-07,1,Category D,474,377,819,6001
2017-07,1,Category E,528,521,872,49899
2017-07,2,Category A,1907,1905,2389,44002
2017-07,2,Category B,1322,1314,1784,50001
2017-07,2,Category C,,1084,1943,42809
2017-07,2,Category D,552,424,1044,5851
2017-07,2,Category E,562,516,941,50101
2017-08,1,Category A,1817,1812,2403,46778
2017-08,1,Category B,1286,1281,1978,53711
2017-08,1,Category C,454,445,742,42801
2017-08,1,Category D,574,508,879,5701
2017-08,1,Category E,547,545,822,52751
2017-08,2,Category A,1817,1817,2148,42900
2017-08,2,Category B,1293,1290,1683,51000
2017-08,2,Category C,445,436,836,42004
2017-08,2,Category D,605,588,1069,3512
2017-08,2,Category E,586,562,781,50000
2017-09,1,Category A,1820,1806,2195,36001
2017-09,1,Category B,1290,1290,1704,49000
2017-09,1,Category C,453,406,695,43002
2017-09,1,Category D,543,535,871,5402
2017-09,1,Category E,543,543,805,48005
2017-09,2,Category A,1815,1815,3469,42902
2017-09,2,Category B,1288,1288,1859,49189
2017-09,2,Category C,453,453,706,46890
2017-09,2,Category D,494,493,727,5501
2017-09,2,Category E,565,563,905,49012
2017-10,1,Category A,1829,1827,2808,41761
2017-10,1,Category B,1285,1284,1646,48109
2017-10,1,Category C,492,492,723,48902
2017-10,1,Category D,485,484,721,5010
2017-10,1,Category E,540,528,869,49000
2017-10,2,Category A,1815,1809,2391,41617
2017-10,2,Category B,1285,1277,1718,49996
2017-10,2,Category C,445,443,611,51890
2017-10,2,Category D,478,449,687,4903
2017-10,2,Category E,542,539,809,52000
2017-11,1,Category A,1683,1683,3430,47112
2017-11,1,Category B,1376,1375,2515,57414
2017-11,1,Category C,242,200,375,58036
2017-11,1,Category D,509,502,683,5502
2017-11,1,Category E,524,495,867,57000
2017-11,2,Category A,1686,1679,2721,46791
2017-11,2,Category B,1383,1383,2173,57390
2017-11,2,Category C,244,,356,57701
2017-11,2,Category D,538,533,708,5992
2017-11,2,Category E,516,498,844,57501
2017-12,1,Category A,1680,1667,2158,42339
2017-12,1,Category B,1375,1375,1805,53711
2017-12,1,Category C,285,279,454,42000
2017-12,1,Category D,516,500,791,6552
2017-12,1,Category E,542,537,831,54334
2017-12,2,Category A,1687,1654,1970,38200
2017-12,2,Category B,1374,1367,1634,47002
2017-12,2,Category C,246,232,482,45112
2017-12,2,Category D,514,458,743,7501
2017-12,2,Category E,531,529,1003,48011
2018-01,1,Category A,1693,1693,2264,41400
2018-01,1,Category B,1374,1368,1811,45289
2018-01,1,Category C,249,247,458,40101
2018-01,1,Category D,525,413,919,7701
2018-01,1,Category E,518,518,923,47390
2018-01,2,Category A,1713,1708,1938,36890
2018-01,2,Category B,1381,1380,1654,42661
2018-01,2,Category C,257,247,399,39000
2018-01,2,Category D,565,500,786,8001
2018-01,2,Category E,515,495,817,44000
2018-02,1,Category A,1557,1534,2389,40000
2018-02,1,Category B,1396,1396,1831,42322
2018-02,1,Category C,249,249,486,38303
2018-02,1,Category D,624,608,933,8451
2018-02,1,Category E,566,562,790,39903
2018-02,2,Category A,1562,1561,2073,36810
2018-02,2,Category B,1391,1379,1744,39000
2018-02,2,Category C,257,256,489,36859
2018-02,2,Category D,577,568,1073,7667
2018-02,2,Category E,586,581,1216,38801
2018-03,1,Category A,1580,1572,2405,38830
2018-03,1,Category B,1390,1390,1731,39001
2018-03,1,Category C,247,202,446,36003
2018-03,1,Category D,,525,885,8009
2018-03,1,Category E,571,525,967,39000
2018-03,2,Category A,1559,1551,2117,38000
2018-03,2,Category B,1402,1374,1639,37010
2018-03,2,Category C,247,234,378,35001
2018-03,2,Category D,522,517,803,7602
2018-03,2,Category E,571,564,977,38000
2018-04,1,Category A,1566,1564,1888,37000
2018-04,1,Category B,1389,1388,1689,37605
2018-04,1,Category C,292,290,500,34001
2018-04,1,Category D,516,483,953,7114
2018-04,1,Category E,612,604,967,38039
2018-04,2,Category A,1566,1566,2027,38510
2018-04,2,Category B,1417,1414,1919,37330
2018-04,2,Category C,260,181,461,34202
2018-04,2,Category D,518,515,727,7115
2018-04,2,Category E,573,571,1027,38389
2018-05,1,Category A,1435,1428,1836,38941
2018-05,1,Category B,1280,1267,2155,38501
2018-05,1,Category C,308,188,611,33190
2018-05,1,Category D,560,515,1171,7204
2018-05,1,Category E,565,562,1008,38600
2018-05,2,Category A,1434,1422,1805,38001
2018-05,2,Category B,1283,1247,1915,37989
2018-05,2,Category C,385,382,786,29901
2018-05,2,Category D,529,529,898,7115
2018-05,2,Category E,558,533,836,38700
2018-06,1,Category A,1441,1440,1696,36426
2018-06,1,Category B,1293,1285,1727,36000
2018-06,1,Category C,425,417,685,29902
2018-06,1,Category D,572,487,828,7001
2018-06,1,Category E,559,525,927,37000
2018-06,2,Category A,1446,1437,1818,34110
2018-06,2,Category B,1316,1311,1729,33900
2018-06,2,Category C,308,293,548,32001
2018-06,2,Category D,527,517,771,6889
2018-06,2,Category E,,580,868,34400
2018-07,1,Category A,1435,1427,1626,25000
2018-07,1,Category B,1288,1288,1637,31000
2018-07,1,Category C,313,272,535,31092
2018-07,1,Category D,612,587,807,6514
2018-07,1,Category E,591,582,975,31001
2018-07,2,Category A,1443,1412,3100,32699
2018-07,2,Category B,1285,1278,1919,32551
2018-07,2,Category C,320,249,538,30889
2018-07,2,Category D,537,533,772,6189
2018-07,2,Category E,558,558,1082,32809
2018-08,1,Category A,1672,1672,3633,33798
2018-08,1,Category B,1265,1256,2132,34381
2018-08,1,Category C,379,330,549,30389
2018-08,1,Category D,845,791,1208,5514
2018-08,1,Category E,536,524,896,33420
2018-08,2,Category A,1695,1695,2948,31997
2018-08,2,Category B,1272,1259,2031,32429
2018-08,2,Category C,409,204,635,29902
2018-08,2,Category D,824,823,1176,4889
2018-08,2,Category E,527,525,927,32311
2018-09,1,Category A,1664,1661,2488,30209
2018-09,1,Category B,1274,1268,1959,32001
2018-09,1,Category C,386,381,612,27001
2018-09,1,Category D,874,867,1213,4390
2018-09,1,Category E,540,506,1006,31801
2018-09,2,Category A,1664,1655,2059,28000
2018-09,2,Category B,1278,1269,1859,31307
2018-09,2,Category C,542,529,921,27104
2018-09,2,Category D,821,821,1098,4214
2018-09,2,Category E,530,519,928,32000
2018-10,1,Category A,1668,1665,2059,28457
2018-10,1,Category B,1271,1241,1886,31301
2018-10,1,Category C,342,340,522,28501
2018-10,1,Category D,827,809,1140,4109
2018-10,1,Category E,561,543,1066,32552
2018-10,2,Category A,1674,1672,1811,25556
2018-10,2,Category B,1273,1267,1856,31302
2018-10,2,Category C,350,349,470,29501
2018-10,2,Category D,819,819,1201,3951
2018-10,2,Category E,539,527,779,32900
2018-11,1,Category A,1819,1757,2849,28199
2018-11,1,Category B,1265,1262,2142,32302
2018-11,1,Category C,332,332,460,29501
2018-11,1,Category D,1121,1104,1543,2509
2018-11,1,Category E,557,544,862,32000
2018-11,2,Category A,1818,1744,2231,25000
2018-11,2,Category B,1241,1234,1786,31101
2018-11,2,Category C,331,327,580,27509
2018-11,2,Category D,1103,1093,1423,2989
2018-11,2,Category E,552,546,930,30959
2018-12,1,Category A,1878,1878,2177,23568
2018-12,1,Category B,1239,1230,1780,31001
2018-12,1,Category C,329,328,489,27009
2018-12,1,Category D,1121,1113,1483,3399
2018-12,1,Category E,552,546,1021,30851
2018-12,2,Category A,,1887,2729,25501
2018-12,2,Category B,1243,1235,1804,31001
2018-12,2,Category C,333,318,503,27001
2018-12,2,Category D,1114,1114,1375,3789
2018-12,2,Category E,545,545,778,31809
2019-01,1,Category A,1815,1804,2707,25920
2019-01,1,Category B,1245,1242,1818,32200
2019-01,1,Category C,330,308,472,27002
2019-01,1,Category D,1112,1103,1396,3610
2019-01,1,Category E,546,540,776,32909
2019-01,2,Category A,1818,1818,2864,26170
2019-01,2,Category B,1244,1230,2119,33989
2019-01,2,Category C,344,342,537,26230
2019-01,2,Category D,1104,1104,1473,2889
2019-01,2,Category E,540,530,797,33689
2019-02,1,Category A,1662,1653,2371,25689
2019-02,1,Category B,1202,1169,1937,34509
2019-02,1,Category C,326,324,466,26378
2019-02,1,Category D,834,834,1164,3709
2019-02,1,Category E,403,392,545,35310
2019-02,2,Category A,1650,1650,2261,26301
2019-02,2,Category B,1214,1213,1993,35403
2019-02,2,Category C,306,306,433,26914
2019-02,2,Category D,826,817,1100,3689
2019-02,2,Category E,407,407,658,36667
2019-03,1,Category A,1659,1653,2213,26309
2019-03,1,Category B,1233,1230,1903,36961
2019-03,1,Category C,306,301,443,27010
2019-03,1,Category D,825,822,1175,3602
2019-03,1,Category E,408,405,689,37620
2019-03,2,Category A,1650,1647,2204,26659
2019-03,2,Category B,1201,1195,1878,39401
2019-03,2,Category C,304,304,411,27021
2019-03,2,Category D,834,825,1039,3469
2019-03,2,Category E,397,396,730,41000
2019-04,1,Category A,1656,1650,2338,29159
2019-04,1,Category B,1202,1202,1782,43102
2019-04,1,Category C,309,304,431,27589
2019-04,1,Category D,829,803,1193,3501
2019-04,1,Category E,400,391,648,48209
2019-04,2,Category A,1653,1603,2249,33199
2019-04,2,Category B,1205,1181,1634,48000
2019-04,2,Category C,304,284,560,32001
2019-04,2,Category D,835,834,1129,3452
2019-04,2,Category E,398,391,667,52410
2019-05,1,Category A,1431,1431,1988,36704
2019-05,1,Category B,1139,1139,1360,48010
2019-05,1,Category C,394,394,610,28559
2019-05,1,Category D,923,896,1154,3352
2019-05,1,Category E,384,379,513,52502
2019-05,2,Category A,1475,1475,1799,27000
2019-05,2,Category B,1163,1161,1407,42564
2019-05,2,Category C,409,406,600,27400
2019-05,2,Category D,898,886,1193,3202
2019-05,2,Category E,382,375,626,47000
2019-06,1,Category A,1424,1417,1902,30009
2019-06,1,Category B,,1137,1346,39728
2019-06,1,Category C,389,389,535,25502
2019-06,1,Category D,925,920,1149,3090
2019-06,1,Category E,380,375,724,42002
2019-06,2,Category A,1424,1225,1742,26999
2019-06,2,Category B,1141,1137,1418,35906
2019-06,2,Category C,393,390,607,25501
2019-06,2,Category D,909,906,1187,3000
2019-06,2,Category E,381,380,536,39400
2019-07,1,Category A,1431,1428,1795,28589
2019-07,1,Category B,1141,1135,1390,34000
2019-07,1,Category C,390,382,649,25089
2019-07,1,Category D,902,890,1141,3081
2019-07,1,Category E,379,377,523,36901
2019-07,2,Category A,1623,1617,1902,26667
2019-07,2,Category B,1143,1140,1677,39406
2019-07,2,Category C,393,393,657,24599
2019-07,2,Category D,900,897,1193,3554
2019-07,2,Category E,375,367,751,39889
2019-08,1,Category A,1059,1059,2023,32725
2019-08,1,Category B,1047,1043,1487,40001
2019-08,1,Category C,292,273,492,27800
2019-08,1,Category D,751,751,1040,4400
2019-08,1,Category E,357,353,589,40512
2019-08,2,Category A,1062,1062,1725,31917
2019-08,2,Category B,1045,1043,1415,38602
2019-08,2,Category C,283,283,446,26501
2019-08,2,Category D,742,574,1010,4301
2019-08,2,Category E,363,353,593,40002
2019-09,1,Category A,1056,1056,1656,31783
2019-09,1,Category B,1046,1040,1289,36001
2019-09,1,Category C,302,299,446,25502
2019-09,1,Category D,739,712,1086,4089
2019-09,1,Category E,359,350,552,37912
2019-09,2,Category A,1056,1053,1453,31759
2019-09,2,Category B,1044,1042,1418,37000
2019-09,2,Category C,283,282,544,25556
2019-09,2,Category D,907,893,1197,3601
2019-09,2,Category E,365,350,632,40000
2019-10,1,Category A,1057,1033,1659,34001
2019-10,1,Category B,1048,1042,1559,41361
2019-10,1,Category C,286,286,522,26509
2019-10,1,Category D,765,763,1036,3800
2019-10,1,Category E,364,358,601,41001
2019-10,2,Category A,1060,1056,1467,32309
2019-10,2,Category B,1044,1037,1503,41805
2019-10,2,Category C,284,279,439,26001
2019-10,2,Category D,753,746,989,3889
2019-10,2,Category E,369,356,506,42020
2019-11,1,Category A,1043,1031,1302,30000
2019-11,1,Category B,1017,1016,1296,40009
2019-11,1,Category C,318,318,440,25392
2019-11,1,Category D,693,691,831,4100
2019-11,1,Category E,383,376,587,40101
2019-11,2,Category A,1023,1012,1468,32000
2019-11,2,Category B,1019,1016,1331,39700
2019-11,2,Category C,322,322,495,24502
2019-11,2,Category D,698,692,974,3921
2019-11,2,Category E,390,383,540,40889
2019-12,1,Category A,1030,1013,1386,33009
2019-12,1,Category B,1013,1003,1265,37900
2019-12,1,Category C,318,315,402,23704
2019-12,1,Category D,693,678,908,3789
2019-12,1,Category E,384,377,518,38889
2019-12,2,Category A,1029,1013,1256,32889
2019-12,2,Category B,1015,1015,1251,36000
2019-12,2,Category C,318,307,441,23200
2019-12,2,Category D,697,696,850,3658
2019-12,2,Category E,384,373,496,37989
2020-01,1,Category A,1035,1026,1450,35320
2020-01,1,Category B,1022,1021,1229,37109
2020-01,1,Category C,321,321,457,24402
2020-01,1,Category D,707,706,1084,3989
2020-01,1,Category E,384,377,541,38000
2020-01,2,Category A,1034,1025,1390,35010
2020-01,2,Category B,1012,1008,1157,37705
2020-01,2,Category C,329,292,504,25001
2020-01,2,Category D,693,693,936,4610
2020-01,2,Category E,,388,528,37500
2020-02,1,Category A,982,977,1204,30010
2020-02,1,Category B,984,980,1173,30890
2020-02,1,Category C,314,314,504,25013
2020-02,1,Category D,578,562,821,4401
2020-02,1,Category E,335,330,525,34900
2020-02,2,Category A,982,973,1564,32999
2020-02,2,Category B,987,978,1459,32889
2020-02,2,Category C,352,219,561,25001
2020-02,2,Category D,577,574,729,4309
2020-02,2,Category E,328,324,550,33301
2020-03,1,Category A,978,973,1436,32699
2020-03,1,Category B,987,987,1347,32801
2020-03,1,Category C,315,315,504,24202
2020-03,1,Category D,593,587,785,4310
2020-03,1,Category E,333,331,512,32500
2020-03,2,Category A,982,962,1421,31210
2020-03,2,Category B,992,943,1366,30012
2020-03,2,Category C,448,448,708,22002
2020-03,2,Category D,581,576,757,4489
2020-03,2,Category E,331,324,503,32500
2020-07,1,Category A,1289,1286,3061,33520
2020-07,1,Category B,1291,1260,3160,35889
2020-07,1,Category C,489,481,866,24502
2020-07,1,Category D,869,856,1611,7702
2020-07,1,Category E,444,436,937,34989
2020-07,2,Category A,1304,1290,2485,32699
2020-07,2,Category B,1339,1316,2497,35001
2020-07,2,Category C,489,482,759,23888
2020-07,2,Category D,869,864,1355,6510
2020-07,2,Category E,448,438,714,35001
2020-08,1,Category A,1022,1007,2047,33000
2020-08,1,Category B,932,928,1985,37102
2020-08,1,Category C,358,354,658,24100
2020-08,1,Category D,503,497,720,7701
2020-08,1,Category E,472,466,784,36502
2020-08,2,Category A,1034,1019,2099,35710
2020-08,2,Category B,923,912,1727,38802
2020-08,2,Category C,357,356,586,25006
2020-08,2,Category D,495,491,797,7432
2020-08,2,Category E,474,467,764,38110
2020-09,1,Category A,1035,1035,1737,37766
2020-09,1,Category B,904,892,1715,41510
2020-09,1,Category C,354,350,525,26644
2020-09,1,Category D,496,488,691,7399
2020-09,1,Category E,470,470,672,40790
2020-09,2,Category A,1034,1031,1540,38504
2020-09,2,Category B,912,912,1497,40989
2020-09,2,Category C,351,346,591,28589
2020-09,2,Category D,494,492,642,7331
2020-09,2,Category E,471,468,671,41001
2020-10,1,Category A,912,907,1272,36534
2020-10,1,Category B,805,800,1218,40690
2020-10,1,Category C,316,314,587,33089
2020-10,1,Category D,429,420,677,7451
2020-10,1,Category E,427,426,688,40301
2020-10,2,Category A,916,907,1323,37334
2020-10,2,Category B,793,793,1272,40990
2020-10,2,Category C,316,315,538,33778
2020-10,2,Category D,423,410,560,7300
2020-10,2,Category E,430,373,672,39889
2020-11,1,Category A,967,952,1262,35990
2020-11,1,Category B,1013,985,1415,39000
2020-11,1,Category C,370,370,558,31502
2020-11,1,Category D,533,532,727,7251
2020-11,1,Category E,464,463,683,39500
2020-11,2,Category A,972,966,1361,37690
2020-11,2,Category B,1007,1006,1559,41101
2020-11,2,Category C,369,367,597,30334
2020-11,2,Category D,537,532,679,7300
2020-11,2,Category E,520,512,803,41503
2020-12,1,Category A,978,978,1620,40714
2020-12,1,Category B,1035,1019,1712,45012
2020-12,1,Category C,368,363,599,32889
2020-12,1,Category D,526,522,767,7670
2020-12,1,Category E,464,461,722,45510
2020-12,2,Category A,969,966,1403,40556
2020-12,2,Category B,1009,998,1631,49300
2020-12,2,Category C,369,355,640,35201
2020-12,2,Category D,530,507,710,7689
2020-12,2,Category E,471,469,688,49500
2021-01,1,Category A,963,962,1280,40609
2021-01,1,Category B,1023,1021,1396,49001
2021-01,1,Category C,372,352,679,35900
2021-01,1,Category D,529,498,692,7501
2021-01,1,Category E,467,463,758,49489
2021-01,2,Category A,966,946,1309,43501
2021-01,2,Category B,,1018,1338,50100
2021-01,2,Category C,381,378,671,40999
2021-01,2,Category D,548,535,706,7589
2021-01,2,Category E,466,458,705,51900
2021-02,1,Category A,885,881,1098,42000
2021-02,1,Category B,943,943,1107,46790
2021-02,1,Category C,276,276,510,45001
2021-02,1,Category D,572,572,705,7506
2021-02,1,Category E,300,300,435,49778
2021-02,2,Category A,903,900,1226,41001
2021-02,2,Category B,942,938,1168,46002
2021-02,2,Category C,259,223,424,40890
2021-02,2,Category D,554,554,715,7500
2021-02,2,Category E,304,302,503,47506
2021-03,1,Category A,887,887,1175,41996
2021-03,1,Category B,942,926,1121,45001
2021-03,1,Category C,255,248,480,37513
2021-03,1,Category D,542,524,707,7752
2021-03,1,Category E,296,296,450,47001
2021-03,2,Category A,886,879,1186,44589
2021-03,2,Category B,946,932,1222,47001
2021-03,2,Category C,292,286,507,39589
2021-03,2,Category D,542,538,700,7791
2021-03,2,Category E,298,291,430,47806
2021-04,1,Category A,883,880,1212,45600
2021-04,1,Category B,958,949,1524,52309
2021-04,1,Category C,263,263,488,36134
2021-04,1,Category D,560,524,735,8000
2021-04,1,Category E,296,286,635,52200
2021-04,2,Category A,890,883,1290,49640
2021-04,2,Category B,956,949,1585,61190
2021-04,2,Category C,262,256,441,44001
2021-04,2,Category D,546,532,734,8000
2021-04,2,Category E,303,295,633,62100
2021-05,1,Category A,832,803,1100,48002
2021-05,1,Category B,819,813,1244,60001
2021-05,1,Category C,157,119,261,43001
2021-05,1,Category D,650,639,901,8011
2021-05,1,Category E,268,268,387,63002
2021-05,2,Category A,835,834,1209,41801
2021-05,2,Category B,817,817,1089,58089
2021-05,2,Category C,164,83,315,41701
2021-05,2,Category D,628,625,904,8701
2021-05,2,Category E,266,260,400,62000
2021-06,1,Category A,858,820,1439,48510
2021-06,1,Category B,815,784,1107,60109
2021-06,1,Category C,195,190,413,37002
2021-06,1,Category D,626,624,776,8703
2021-06,1,Category E,259,259,331,61112
2021-06,2,Category A,830,823,1178,47821
